Date,Open,High,Low,Close,Adj Close,Volume
20/8/2020,6112,6112,6009.600098,6013.299805,6013.299805,505170900
21/8/2020,6013.299805,6036.5,5948.799805,6001.899902,6001.899902,545211700
24/8/2020,6001.899902,6119.799805,6001.899902,6104.700195,6104.700195,452722200
25/8/2020,6104.700195,6173.5,6032.100098,6037,6037,538992400
26/8/2020,6037,6050.799805,5992.200195,6045.600098,6045.600098,405657200
27/8/2020,6045.600098,6062.5,6000,6000,6000,496427000
28/8/2020,6000,6033,5962.5,5963.600098,5963.600098,928308900
1/9/2020,5963.600098,5972.5,5824,5862.100098,5862.100098,1041226100
2/9/2020,5862.100098,5974.700195,5862.100098,5941,5941,670603500
3/9/2020,5941,5996.200195,5838,5850.899902,5850.899902,698951400
4/9/2020,5850.899902,5904.200195,5778.399902,5799.100098,5799.100098,672211400
7/9/2020,5799.100098,5946.899902,5798.5,5937.399902,5937.399902,542562600
8/9/2020,5937.399902,5985.299805,5868.899902,5930.299805,5930.299805,741088100
9/9/2020,5930.299805,6031.299805,5923.399902,6012.799805,6012.799805,670411100
10/9/2020,6012.799805,6028.799805,5950.600098,6003.299805,6003.299805,602947200
11/9/2020,6003.299805,6057.700195,5992.899902,6032.100098,6032.100098,532206600
14/9/2020,6032.100098,6080,6011.799805,6026.299805,6026.299805,599027600
15/9/2020,6026.299805,6123.700195,6026.200195,6105.5,6105.5,696475100
16/9/2020,6105.5,6119.200195,6057.600098,6078.5,6078.5,712218600
17/9/2020,6078.5,6078.5,5998.700195,6049.899902,6049.899902,614989900
18/9/2020,6049.899902,6055.200195,6006.299805,6007.100098,6007.100098,1606438900
21/9/2020,6007.100098,6007.100098,5779.200195,5804.299805,5804.299805,989724600
22/9/2020,5804.299805,5871.299805,5794.5,5829.5,5829.5,793986600
23/9/2020,5829.5,5974.899902,5829.5,5899.299805,5899.299805,745841800
24/9/2020,5899.299805,5899.299805,5805.299805,5822.799805,5822.799805,707125700
25/9/2020,5822.799805,5843.700195,5771.5,5842.700195,5842.700195,742745800
28/9/2020,5842.700195,5954.399902,5842.700195,5927.899902,5927.899902,915339300
29/9/2020,5927.899902,5927.899902,5862.899902,5897.5,5897.5,677894800
30/9/2020,5897.5,5931.399902,5854.5,5866.100098,5866.100098,831982500
1/10/2020,5866.100098,5925.799805,5849.799805,5879.5,5879.5,729252500
2/10/2020,5879.5,5902.100098,5809.600098,5902.100098,5902.100098,708115400
5/10/2020,5902.100098,5974.200195,5902.100098,5942.899902,5942.899902,637260500
6/10/2020,5942.899902,5971.5,5903.399902,5949.899902,5949.899902,911383000
7/10/2020,5949.899902,5977.200195,5929.200195,5946.299805,5946.299805,762006800
8/10/2020,5946.299805,6004.200195,5929.399902,5978,5978,741665900
9/10/2020,5978,6040.5,5978,6016.700195,6016.700195,676779000
12/10/2020,6016.700195,6037.100098,5995.100098,6001.399902,6001.399902,600961600
13/10/2020,6001.399902,6008,5950,5969.700195,5969.700195,786877800
14/10/2020,5969.700195,6009.799805,5926.5,5935.100098,5935.100098,613220800
15/10/2020,5935.100098,5935.100098,5786.200195,5832.5,5832.5,667215200
16/10/2020,5832.5,5933.799805,5832.5,5919.600098,5919.600098,669807200
19/10/2020,5919.600098,5959.700195,5872,5884.700195,5884.700195,522720700
20/10/2020,5884.700195,5915.5,5861.799805,5889.200195,5889.200195,576524900
21/10/2020,5889.200195,5903.399902,5769.600098,5776.5,5776.5,632347400
22/10/2020,5776.5,5796.399902,5716.399902,5785.700195,5785.700195,664916300
23/10/2020,5785.700195,5885.399902,5781.799805,5860.299805,5860.299805,852798000
26/10/2020,5860.299805,5868.399902,5782.399902,5792,5792,870052100
27/10/2020,5792,5806.200195,5728.200195,5729,5729,756732600
28/10/2020,5729,5729,5525.5,5582.799805,5582.799805,1107558600
29/10/2020,5582.799805,5616.600098,5534.700195,5581.799805,5581.799805,964959700
30/10/2020,5581.799805,5593.399902,5534.100098,5577.299805,5577.299805,823613300
2/11/2020,5577.299805,5665.299805,5554.700195,5655,5655,755064600
3/11/2020,5655,5787.600098,5655,5786.799805,5786.799805,803790300
4/11/2020,5786.799805,5885.700195,5711.200195,5883.299805,5883.299805,781517600
5/11/2020,5883.299805,5933.100098,5881.899902,5906.200195,5906.200195,900001200
6/11/2020,5906.200195,5950.200195,5858.5,5910,5910,848478100
9/11/2020,5910,6258.299805,5910,6186.299805,6186.299805,2067706200
10/11/2020,6186.299805,6307,6180.5,6296.899902,6296.899902,1717346100
